sentence1	sentence2	label
aesthetic appreciation and spanish art :	insights from eye-tracking	elaboration
the viewing experience of art is a complex one ,	involving issues of perception , attention , memory , decision-making , affect , and emotion .	elaboration
focusing on a unique collection of 17th century zurbarán paintings .	the jacob cycle at auckland castle is the only uk example of a continental collection preserved in situ in purpose-built surroundings .	elaboration
no work has been completed on the aesthetic appreciation of collections or of devotional themes .	while studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics ,	concession
the purpose of this pilot study was to assess the effects of different written interpretation on the visual exploration of artworks .	we will discuss the potential implications of these techniques and our understanding of visual behaviours on museum and gallery practice .	elaboration
the project brings together established research strengths in spanish art history , experimental psychology , digital humanities , and museum studies	to explore , using eye-tracking techniques , aesthetic reactions to digital representations of the individual zurbarán artworks as well as the significance of the collection as a whole .	purpose
a viewer gathers information through a series fixations , interspersed by rapid movements of the eye called saccades .	when regarding an artwork ,	circumstance
the direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene ( e.g. colour , texture , brightness etc ) .	importantly , studying eye movements offers an insight that does not depend on the participants ' beliefs , memories or subjective impressions of the artwork .	evaluation
previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts	( see for example brieber 2014 ; binderman et al. , 2005 )	evidence
zurbarán 's cycle of jacob and his sons has been on display in the long room at auckland castle for over 250 years .	it is the only cycle to be preserved in purpose-built surroundings in the uk , and one of very few of its kind in the world .	elaboration
but many key aspects of its production and significance have not yet been fully understood .	it has a long history in scholarship ( baron & beresford 2014 ) ,	concession
in this study we used eye-tracking in the first stage of exploring audience experience of the extensive spanish art collections of county durham , of which the 13 zurbarán artworks ( there are actually only 12 zurbarán artworks , the 13th benjamin , is a copy by arthur pond ) are a key part of ,	to investigate the ways in which audiences look at spanish art , how aesthetic experience is evaluated and whether audiences can be encouraged to approach art in different ways .	purpose
we will discuss the potential implications of these techniques and our understanding of visual behaviours on museum and gallery practice .	claire warwick c.l.h.warwick@durham.ac.uk durham university , united kingdom	no_relation
while studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics ,	when regarding an artwork ,	no_relation
in this study we used eye-tracking in the first stage of exploring audience experience of the extensive spanish art collections of county durham , of which the 13 zurbarán artworks ( there are actually only 12 zurbarán artworks , the 13th benjamin , is a copy by arthur pond ) are a key part of ,	andrew beresford a.m.beresford@durham.ac.uk durham university , united kingdom	no_relation
as an example , research shows that greater diversity within a community or group can lead to improved critical thinking [ 1 ] and more creative solutions to complex tasks [ 2 , 3 ]	by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers .	cause
for many scientific fields , however , there is no central listing of all tenure-track faculty ,	making it difficult to define a rigorous sample frame for analysis .	result
most fields , on the other hand , including computer science , lack a single all-encompassing organization	and membership information is instead distributed across many disjoint lists , such as web-based faculty directories for individual departments .	elaboration
past studies have tended to avoid this task and have instead used samples of researchers [ 8 – 11 ] , usually specific to a particular field [ 12 – 16 ] , and often focused on the scientific elite [ 17 , 18 ] .	because assembling such a full census is difficult ,	cause
such samples are not representative of the scientific workforce as a whole and thus have limited generalizability .	although useful ,	concession
in some fields , yearly data on faculty numbers and composition are available in aggregate .	in computer science , the computing research association ( cra ) documents trends in the employment of phd recipients through the annual taulbee survey of computing departments in north america ( cra.org/resources/taulbee-survey ) .	elaboration
for example , differences in recruitment and retention strategies across departments will be washed out by averaging ,	thereby masking any insights into the efficacy of individual strategies and policies .	result
the system is capable of collecting census data for an entire academic field in just a few hours	using off-the-shelf computing hardware ,	elaboration
by assembling an accurate census of an entire field from online information alone ,	this system will facilitate new research on the composition of academic fields	result
this system can also be used longitudinally	to study how the workforce 's composition changes over time ,	purpose
and uses the 2011 and 2017 censuses	"to investigate the "" leaky pipeline "" problem in faculty retention ."	purpose
and membership information is instead distributed across many disjoint lists , such as web-based faculty directories for individual departments .	in short , many important research questions will benefit from the availability of accurate and frequently-recollected census data .	no_relation
most fields , on the other hand , including computer science , lack a single all-encompassing organization	such surveys can provide valuable insight into trends and summary statistics on the scientific workforce but suffer from two key weaknesses .	no_relation
this is important ,	because as we will show in § 6 below , some of the eegimaa death prevention names and child-bearing names are given to eegimaa people from other communities .	justify
jóola languages are classified as members of sapir 's ( 1971 ) bak group of atlantic languages of the niger congo language phylum .	speakers of these languages are found in the gambia , in the former casamance region of southern senegal and in guinea bissau .	elaboration
the map in figure 1 , taken from ethnologue , presents the languages of senegal .	the arrow on the map points to the eegimaa speaking area	elaboration
the map in figure 2 below , adapted from palmeri and gazio ( 1995 ) , shows a very approximate location of mof-ávvi in relation to other neighbouring speech communities .	some of these communities will be referred to in our discussion of death prevention names in § 6 .	elaboration
for example , the name kusiilay 1 ' the language of essil ' , is the name given by speakers of kujireray to the eegimaa language ,	because essil , of which bajjat was a district , is the village which has a border with their village .	cause
endungo is the name given by bayot speakers ,	but its meaning is not known .	concession
finally , banjal / bandial ' the language of the village of banjal ' , the most popular of all those names , is the name given by the jóola búluf and jóola fogny speakers to eegimaa people and their language ,	because people from the village of banjal were the first to be in contact with them .	cause
map of senegal ( courtesy of google maps )	figure 1 .	preparation
map of the eegimaa speaking area	figure 2 .	preparation
gútaamay ( from the village of butam ) , gulapaoray ( from the village djilapaor ) and gusiilay ( iso 639-3 : bsl ) from the village of thionk essil are also other languages related to eegimaa .	they are located north of the casamance river in the jóola búluf area .	elaboration
speakers of eegimaa use the term gújjolaay ( meaning jóola )	to refer to their language	purpose
but eegimaa	to distinguish their jóola variety from that of other jóola peoples .	purpose
because some of the ritual names analysed in this paper come from other languages or from neighbouring communities .	these names are given either in eegimaa or in a different language .	elaboration
the map in figure 2 below , adapted from palmeri and gazio ( 1995 ) , shows a very approximate location of mof-ávvi in relation to other neighbouring speech communities .	endungo is the name given by bayot speakers ,	no_relation
these names are given either in eegimaa or in a different language .	names of the villages of mof-ávvi are written using the eegimaa orthography and following the pronunciation of village names by native speakers .	no_relation
nowadays most eegimaa speakers from mof-ávvi live outside their homeland , generally in urban areas like ziguinchor and dakar .	the arrow on the map points to the eegimaa speaking area	no_relation
the use of cognitive digital games in school :	contributions to attention	elaboration
the attention is the main point made in this study ,	since it is fundamental to the learning process and be recurring complaint among parents and teachers in schools .	cause
the games involve challenges and rules involving the exercise of cognitive functions , especially the working memory , attention and capacity of solving problems .	we aim to investigate the contributions of the use of a system that integrates cognitive digital games to a database , of the escola do cérebro , for monitoring and improvement of cognitive skills , highlighting the attention .	purpose
it collects the data based on the observation of the proposed interventions as well as interviews conducted with participating teachers and students	to identify their perceptions of digital games ' contributions to the learning process .	purpose
the application allows visualization of the player 's performance and offers the possibility of monitoring by teachers .	students have their scores measured by four variables : time , speed , stability and accuracy .	elaboration
the teachers observed changes after the intervention ,	emphasizing the greater persistence and involvement in school activities , and in some students , improvement in the ability to sustain attention .	elaboration
the study in question focuses on the attention ,	the attention is the main point made in this study ,	no_relation
re(a)d wedding :	a comparative discourse analysis of fan responses to game of thrones	elaboration
"it is a transmedia system in the sense first used by marsha kinder ( 1991 ) and popularized by henry jenkins ( 2006 ) , in which media-hopping networks of intertextualities extend the "" storyworld "" of an original production ."	it is no exaggeration to say that hbo 's game of thrones is more than just a television series or a successful brand :	preparation
it has spawned five video games , a graphic novel adaptation , several companion books , two rap albums , a 28-city orchestral tour , a wide variety of tabletop games , toys , merchandise and mobile apps , and countless podcasts , fanfics and other fan-based creations .	now spanning six seasons and 60 episodes , with an average global viewership ( from its most recent season ) of 25.1 million viewers per episode ( shepherd , 2016 ) ,	background
it is easy to forget that the television series itself is an adaptation of a book series with a pre-existing fandom .	given the volume of content this represents ,	cause
these systems demonstrate , in microcosm , the global challenge of managing the fire-hose flow of information in contemporary postdigital society .	transmedia systems , like that exemplified by game of thrones , are becoming increasingly prevalent ( e.g. , star wars , harry potter , the walking dead , the marvel cinematic universe , etc ) ;	background
the study of how people , as fans , access and manage information within a transmedia system provides valuable insight that contributes not only to practitioners and scholars of the media industry , but to the wider context of cultural studies ,	by offering findings on this new model of the fan as consumer and information-user .	elaboration
"for us , as digital humanists , defining the "" transmedia fan "" is of particular relevance"	as we seek to understand contemporary social and cultural transformations engendered by digital technologies .	cause
"one for viewers familiar with the books ( i.e. , "" experts "" ) and one for viewers unfamiliar with the books and averse to "" spoilers "" ( i.e. , "" newbies "" ) ."	since the television series ' inception , writers at the av club have written two critical reviews for each episode :	preparation
"what results are two completely separate reviews of "" the rains of castamere "" which in turn document the fans ' reactions to the episode in the form of user comment threads :"	one comment thread where fans were expected to be shocked by the outcome of the episode and one comment thread where fans had hotly anticipated it .	elaboration
as a pilot project , the current work takes the content of both comment threads — a corpus of approximately 5,600 comments — and analyzes each thread separately	using a qualitative coding method aligned with constructivist grounded theory ( charmaz , 2006 ) .	elaboration
negotiation ( i.e. , emotional responses ) and tactical negotiation ( i.e. , cognitive , or reasoned responses ) .	these themes fall under two broad categories :	preparation
using the principles of de certeau 's ( 1984 ) everyday life practice ,	in order to extend its application to the broader context of modern-day consumers .	purpose
future research should explore the negotiation tactics observed in transmedia fans	conclusion	no_relation
future research should explore the negotiation tactics observed in transmedia fans	as such , the game of thrones storyworld represents a remarkably rich and challenging environment for fans old and new , who must negotiate an increasingly complex network of paratexts and intertexts in order to fully engage with its narratives .	no_relation
"one of the most dramatic plot developments in the source material ( martin , 2000 ) was adapted to the screen in the penultimate episode of the third season , "" the rains of castamere "" ( benioff & weiss , 2013 ) ."	since the television series ' inception , writers at the av club have written two critical reviews for each episode :	no_relation
