sentence	label
i remember i i forget whether it was when the rutgers or or hopkins workshop.	Topic Change
but um you know the i mean there are always ways of doing things more efficiently or more uh in a more technically sophisticated way.	Floor Holder
you know over and over.	Defending/Explanation
so they're making	Understanding Check
everything up to that point.	Collaborative Completion
does he want to go there to see it?	Yes-No-question
and so of course it picked up stuff like this.	Statement
but i mean i'm i'm not really sure.	Other Answers
it isn't a bad illustration of the effects of uh room noise on on uh some mikes.	Statement
so without and with adaptation.	Statement
uh i think you don't want to have their full name to be uh listed.	Floor Holder
we didn't explicitly have anything to deal with stationary noise.	Correct-misspeaking
well you could do that by just noting on the enrollment sheet the the seat number.	Offer
i'm thinking prior to that.	Defending/Explanation
subspace i'm i'm like that's still in a little bit in the back burner.	Negative Non-no Answers
so what's to the left of these?	Wh-Question
so yeah it depends.	Affirmative Non-yes Answers
so far.	Expansions of y/n Answers
these will just be things that are generated.	Statement
and six million for the last one.	Statement
yeah with your backchannels.	Accept
i don't think that we're going to have a lot of undergrads.	Statement
well that's definitely a problem.	Dispreferred Answers
well it it seems like right now if if what they're complaining are those	Rising Tone
i i didn't run it for the whole case.	Statement
i think we're going to have to work on the uh on the human subjects form.	Offer
i mean you could conceivably put an o h or a zero for the o s and still have this benefit.	Statement
and would be great to to to basically take advantage of that to to make a synergy more than an overlap and you know help each other.	Offer
so why don't we do it in that order?	Floor Holder
and there's still uh two people for whom i have not been able to get in touch	Statement
well well we are going to do time alignment.	Floor Grabber
right um and that would be similar to what you're also trying to do.	Accept
and they don't tend to say as much.	Defending/Explanation
and i don't want to make you do it some different way than you want to do it.	Statement
um so maybe there's a way to even put that in in a much more automatic way.	Floor Holder
and then combining them somehow down the line.	Expansions of y/n Answers
and um and didn't say a lot.	Floor Holder
what's l d c?	3rd-party-talk
because we have to label every meeting.	Defending/Explanation
or do you need to do people need to leave?	Downplayer
not in a standard way.	Statement
because even the same person sometimes says o. and sometimes says zero in different context.	Defending/Explanation
and especially you can see if you have like four speakers it be you can maybe find a way of doing that.	Expansions of y/n Answers
i think you're referring to this bar aren't you?	Statement
where am i?	Self-talk
and apparently it did even better than the original than the original versions.	Expansions of y/n Answers
so this is on the uh before any mel scaling has been done?	Understanding Check
is that you want an intermediate structure which uh is essentially the or of uh for this purpose of of uh selling fixing or servicing.	Reformulate/Summarize
oh i like that.	Assessment/Appreciation
and and that's actually a good model which is what this current tool that we're using has is to to associate these labels with um attributes of s g m l tags.	Assessment/Appreciation
and i guess you've mentioned in your progress report or status report that you had written a script to convert it into	Floor Holder
yeah that's pretty close.	Assessment/Appreciation
i think it's sort of a like you guys can take from here.	Defending/Explanation
that's part of the thing we're talking about.	Accept-part
uh the uh torrent chip.	Hold Before Answer/Agreement
stuff is not very technical.	Affirmative Non-yes Answers
but more of you know if if there is some part of your system that has to buffer twenty frames uh can't the other parts of the system draw out of that buffer and therefore not add to the latency?	Rising Tone
yeah basically from the command line.	Statement
you're right this is going to require more thought.	Accept
like i'll go	Statement
same idea?	Collaborative Completion
yeah i think it's okay.	Floor Grabber
i i shouldn't be allowed to by by my own by my according to my own priorities.	Dispreferred Answers
can you do it for them?	Humorous Material
