sentence1	sentence2	label
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	what we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others	low
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	during the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred	high
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	all of these skills help them to get on well with other people and will benefit them for the whole life	low
competition makes the society more effective	the significance of competition is that how to become more excellence to gain the victory	low
without the cooperation, there would be no victory of competition	when we consider about the question that how to win the game, we always find that we need the cooperation	low
without the cooperation, there would be no victory of competition	take olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care	low
sustaining the cultural values of immigrants is paramount essential	maintaining one's cultural identity is a key important rule to help individuals emerge in the new multicultural environments	high
sustaining the cultural values of immigrants is paramount essential	take australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues	high
sustaining the cultural values of immigrants is paramount essential	many australians come this day to enjoy the shows, learn about the cultures and admire the diverse values	high
keeping the cultural traditions in the destination countries is tremendous important	it is crucial to keep one's identity	low
it is crucial to keep one's identity	they need a connection back to their country as well as teach their children their value of origin	low
keeping the cultural traditions in the destination countries is tremendous important	in this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home	low
keeping the cultural traditions in the destination countries is tremendous important	fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism	low
tourism has clearly improved lives in the tourist country	take cambodia for example, a large number of visitors coming to visit the angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores	low
tourism has clearly improved lives in the tourist country	these demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard	high
tourism has survived many non-tangible cultural values and beauty scenes	in vietnam, many cultural costumes and natural scenes, namely 'trong dong' drum performance and 'ha long' bay, are being encouraged to preserve and funded by the tourism ministry	high
tourism has survived many non-tangible cultural values and beauty scenes	without this support and profit from tourism, many traditional cultures would disappear due to its low income works	low
tourism has survived many non-tangible cultural values and beauty scenes	through tourism industry, many cultural values have been preserved and natural environments have been protected	high
international tourism can create negative impacts on the destination countries	tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations	high
international tourism can create negative impacts on the destination countries	take thailand for example, in the vietnam war, many american soldiers came to thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits	high
tourism has threatened the nature environments	tourism increasingly create harms to the natural habitats of the destination appeals	low
tourism has threatened the nature environments	many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	high
studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures	compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life	high
living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet	one who is living overseas will of course struggle with loneliness, living away from family and friends	low
one who is living overseas will of course struggle with loneliness, living away from family and friends	those difficulties will turn into valuable experiences in the following steps of life	low
living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet	the one will learn living without depending on anyone else	low
one who has studied and lived overseas will become more eligible for the job than his/her peers	employers are mostly looking for people who have international and language skills	low
one who has studied and lived overseas will become more eligible for the job than his/her peers	becoming successful in this study will give the student an edge in job market	low
they should be able to deal with the obstacles that they may encounter	students might face many challenges in the host country	low
students who study outside their countries can get a lot of experience living in a foreign country	they should be able to deal with the obstacles that they may encounter	high
they should be able to deal with the obstacles that they may encounter	overcoming problems teaches the students how to be more mature and self-independence	low
the new academic experience that the students can obtain at the institution where they are pursuing their studies	they will get exposed to a different educational system	low
the new academic experience that the students can obtain at the institution where they are pursuing their studies	they will meet new professors and new classmates which makes the academic experience different from that in their home country	low
most important is the cultural aspect of the experience	while living in a foreign country, students can learn a lot about the culture of that country	low
most important is the cultural aspect of the experience	they can meet different people of the country	low
most important is the cultural aspect of the experience	learning about others' cultures is so important	low
learning about others' cultures is so important	it contributes in building a new understanding in us of how we see the world	high
learning about others' cultures is so important	it makes us more open, and willing to accept different ideas and thoughts	high
the print media has failed to keep its important role in the provision of information	to obtain information, using the internet is quicker and more convenient than reading newspapers	high
the print media has failed to keep its important role in the provision of information	contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime	high
the print media has failed to keep its important role in the provision of information	as can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages	high
the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time	the internet service is being provided at a low cost or even free in many countries	low
the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time	the answer, perhaps, is that hardly would rational people do so	high
newspapers' production will have to face environmentalists on its way to be alive	when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down	high
newspapers' production will have to face environmentalists on its way to be alive	this is simply the contributor to the deforestation which is happening all over the world today	low
if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education	elementary education, like the base of a architecture, is the fundamental requirement to be a qualified citizen in today's society	high
if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education	government should guarantee that all people have equal and convenient access to it	low
if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education	a lack of well-established primary education goes hand in hand with a high rate of illiteracy, and this interplay seriously compromises a country's future development	high
