sentence1	sentence2	label
without the cooperation, there would be no victory of competition	take olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care	invented_instance
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	during the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred	common_knowledge
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	all of these skills help them to get on well with other people and will benefit them for the whole life	warrant
competition makes the society more effective	the significance of competition is that how to become more excellence to gain the victory	common_knowledge
sustaining the cultural values of immigrants is paramount essential	take australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues	real_example
sustaining the cultural values of immigrants is paramount essential	many australians come this day to enjoy the shows, learn about the cultures and admire the diverse values	warrant
sustaining the cultural values of immigrants is paramount essential	these feedbacks, in turn, help raise one's pride of their cultures and help people understand each other more	warrant
it is crucial to keep one's identity	they need a connection back to their country as well as teach their children their value of origin	warrant
keeping the cultural traditions in the destination countries is tremendous important	children immigrated to a new country will face social troubles in school with new friends	common_knowledge
keeping the cultural traditions in the destination countries is tremendous important	in this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home	common_knowledge
tourism has clearly improved lives in the tourist country	international tourism promotes many aspects of the destination country's economy in order to serve various demands of tourists	warrant
tourism has clearly improved lives in the tourist country	these demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard	common_knowledge
tourism has survived many non-tangible cultural values and beauty scenes	through tourism industry, many cultural values have been preserved and natural environments have been protected	common_knowledge
international tourism can create negative impacts on the destination countries	take thailand for example, in the vietnam war, many american soldiers came to thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits	real_example
international tourism can create negative impacts on the destination countries	this was due to the lack of adequate controls by authorities and lead to a bad image of thailand tourism	warrant
many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	as the australia's great barrier reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat's anchors, dropping fuel and other sorts of pollutions	real_example
tourism has threatened the nature environments	many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	real_example
studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures	compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life	common_knowledge
one who has studied and lived overseas will become more eligible for the job than his/her peers	employers are mostly looking for people who have international and language skills	common_knowledge
one who has studied and lived overseas will become more eligible for the job than his/her peers	becoming successful in this study will give the student an edge in job market	common_knowledge
students who study outside their countries can get a lot of experience living in a foreign country	living in a new country requires a great amount of flexibility and adaptability in one's character	common_knowledge
they should be able to deal with the obstacles that they may encounter	students might face many challenges in the host country	common_knowledge
students who study outside their countries can get a lot of experience living in a foreign country	they should be able to deal with the obstacles that they may encounter	invented_instance
they should be able to deal with the obstacles that they may encounter	overcoming problems teaches the students how to be more mature and self-independence	common_knowledge
the new academic experience that the students can obtain at the institution where they are pursuing their studies	they will get exposed to a different educational system	common_knowledge
the new academic experience that the students can obtain at the institution where they are pursuing their studies	they will meet new professors and new classmates which makes the academic experience different from that in their home country	common_knowledge
most important is the cultural aspect of the experience	while living in a foreign country, students can learn a lot about the culture of that country	common_knowledge
most important is the cultural aspect of the experience	they can meet different people of the country	common_knowledge
learning about others' cultures is so important	it makes us more open, and willing to accept different ideas and thoughts	common_knowledge
the print media has failed to keep its important role in the provision of information	to obtain information, using the internet is quicker and more convenient than reading newspapers	common_knowledge
the print media has failed to keep its important role in the provision of information	contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime	real_example
the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time	the internet service is being provided at a low cost or even free in many countries	common_knowledge
newspapers' production will have to face environmentalists on its way to be alive	this is simply the contributor to the deforestation which is happening all over the world today	real_example
the print media has failed to keep its important role in the provision of information	as can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages	real_example
the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time	from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one	real_example
if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education	elementary education, like the base of a architecture, is the fundamental requirement to be a qualified citizen in today's society	analogy
if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education	a lack of well-established primary education goes hand in hand with a high rate of illiteracy, and this interplay seriously compromises a country's future development	common_knowledge
