sentence1	sentence2	label
it is a good thing. but why must we destroy the earth and 2/3rds of humanity to accomplish it? that is the downside to the end of the age saga which is coming. you can liken it to when god poured out the plagues on egypt because pharaoh refused to free his people. that event will be repeated again, only on a world wide basis. and it will be in response to antichrists actions against his people.	"what is this ""we"" stuff? got a mouse in your pocket? i thought god was going to destroy it...not ""we"".   "	sarc
"the planned parenthood motto is ""every child a wanted child.'"	if that's truly what the organization says, then it's a hypocrite of an organization.	notsarc
the only difference is that the evolutionists are correct. btw, they've found the crater which was made by the asteroid. the mass extinction is a fact and so is evolution.	your probably referring to the mexican basin crater. mass extinction doesn't prove evolution. the flood as described in the bible is an example of mass extinction. besides, in order for the asteroid theory to work, the asteroid would have to create an almost global tidal wave that would effectively kill the animals by drowning. also similiar to the effects of the flood.	notsarc
how can a christian not be? picking an choosing what one likes out of the bible doesn't mean they know god.	most christians are, as is frequently pointed out by numerous posters in many different threads on this board.	notsarc
you sure can. a mass murder of at least 13 children was committed with a knife. that has happened before even in japan as well as other countries including here. no conclusion to be drawn. it happened, it is history and now a well known fact.	you don't even take into consideration the possibility that japan could have a higher mass murder rate- perhaps the same as the us- if guns were freely available in that country. you have a lot of explaining to do if you expect me to buy what you're trying to peddle. 	notsarc
"brooklyn, new york (vbs.tv) -- on january 22, 2006, the new york times reported that all foreign journalists were being banned from pakistan's tribal areas, which has been called ""the most dangerous place in the world."" a week before that, the cia fired missiles remotely from a predator aircraft into the waziristan tribal area. they were hoping to eradicate a bunch of al qaeda operatives. instead, they killed 18 women and children.one week before that, i arrived in pakistan to visit darra adamkhel, the massive open-air market located deep in the tribal areas, where a frighteningly high percentage of islamic holy warriors goes to buy their guns.gaining access to the tribal areas was next to impossible. it took months of pre-planning with the consul general of pakistan in montreal and top officials in peshawar. they repeatedly denied us entry because, according to them, the pakistani army had too many ""sensitive operations"" going on in that region. without my personal advantage (a family friendship with the governor of the northwest frontier province), we never would have gotten in.the government assigned me and my team a political agent named naeem afridi. he was born and raised in the tribal areas. he took care of us while we were there, and he was a godsend. you can't do anything in this part of the world without someone like naeem.our driver stopped at a security point just outside the town center, where we were introduced to the frontier agency militia, six angry-dad-looking guys with aks and sidearms. they became our personal bodyguards, and followed us through the tight warren of gun shops and factories, barren little brick rooms where upward of 1,000 guns are manufactured every day. most of the work is done by hand.the vendors are pashtuns, who are basically the toughest people in the world. they comprised the majority of the mujahideen who kicked the soviets out of afghanistan in the late '80s.these days, the town is rumored to be completely overrun by the taliban. they purchase the guns, then cross the border to fight the u.s. army in afghanistan, or they drive through the mountains to the south to fight the pakistani army.this summer, i went back to pakistan, and found that the fuse on this powder keg has become even shorter. the pakistani army has surged more troops into the tribal areas, attempting to eradicate the taliban and al qaeda. the u.s. and british troops are attempting to do the same thing on the other side of the border in afghanistan. meanwhile, pakistan itself has seen violence spread to its major urban centers, where extremists have been detonating bombs and taking over police stations.but at the same time, there is a cultural explosion taking place, a vibrant art scene and metal and rock bands popping up everywhere. the whole situation has become ultra charged by the fact that there are tons of news channels operating uncensored by the insanely corrupt government.for pakistan, it's a volatile, turbulent, and fascinating moment in time."	"so...what was all that bull**** about terrorists exploiting america's ""weak gun control laws"" in order to amass arsenals of deadly weapons?it seems to me that they don't need undercover operatives to come to america, forge documents and undergo background checks just to get civilian weapons. they've got their own arms manufacturing plants over there, they can make whatever they need or want."	notsarc
a loophole has been identified and a bill has been introduced to close it?	'two other sacramento-area police officers also were implicated in illegal weapons sales but not charged because they didn't turn large profits,' ah it's ok to sell illegal weapons as long as you don't make a big profit?  'california law bars citizens from buying handguns that have not been deemed safe by the state department of justice, but the law exempts peace officers.' the cops there are above the law? had to put a new hard drive and install,good to be back.	notsarc
wouldn't it be nice if you didn't overuse the word oppress. if you really believe that gays are oppressed then believe me you ain't seen nothing in the world as yet. try looking at some countries in the world and you will see what oppression really means.	i am amused by how some people can look at an article of an anti-gay marriage advocate attacking a gay marriage advocate, and the person reading the article wants to focus on what qualifies as 'oppression' and how gays could have it worse... emoticonxdonno  just out of curiousity, do you have any comment as to whether or not the attack was wrong?	sarc
we aren't that rich, and both of us our still finishing up our college degrees and are under enormous student loan burden. he supported my decision to abort as neither of us would have anywhere near the time or money to support a baby (hence our use of contraception), and neither of us have taken a full job in our fields yet to be able to provide that money to pay for the loans let alone a child.	come on, people. you don't butcher an innocent baby for the conveience or sins of the parents. there's plenty of people in the world who would have adopted that baby. and if no one else would have, i would have.	notsarc
revisionist history by gays is still revisionist history. while aids can be spread through heterosexual sex, i stated that it was homosexual sex that put aids over the critical mass needed to perpetuate and spread. deny that. emoticonxcensored	"so aids is the fault of ""the gays""?emoticonxrolleyes   lol it's been a long time, jp."	sarc
