sentence	label
i had thought that they had, uh, colonies there, or something.	Declarative Yes-No-Question
it's constantly on the,	Uninterpretable
sometimes i guess	Uninterpretable
like i say,	Uninterpretable
they could be a good idea to,	Appreciation
you enjoyed that one, then.	Declarative Yes-No-Question
nice to talk to you.	Conventional-closing
oh, always.	Agree/Accept
so you, you, you use bell pepper and onion and celery seed.	Summarize/Reformulate
well, they advertised it as a three bedroom house because it has a built on addition room, you know	Dispreferred Answers
i got the black and decker kind.	Statement-non-opinion
the difficult, i, point is, is to, where do we step in,	Rhetorical-Question
but in the summer he's still young enough that i cannot leave him by himself.	Statement-non-opinion
not after	Appreciation
but that's just,	Quotation
or, or get,	Uninterpretable
uh, and some of, some stuff that i like, uh,	Hedge
so, if the economy gets better, are you going to get another one, another house?	Yes-No-Question
it's, it's the most beautiful thing that happens between a mother and a child. the first, like say, six, years of life.	Statement-opinion
and he's,	Uninterpretable
supposed to talk about boats.	Action-directive
i've, uh, oh,	Uninterpretable
and, and they get, you know,	Uninterpretable
and they have a couple of kids that are almost my kids age.	Statement-non-opinion
or where's,	Rhetorical-Question
when you, uh, exercise, what do you do?	Wh-Question
that's really nice	Appreciation
but, uh, a good turn over would be sort of nice.	Statement-non-opinion
and,  and they encourage it.	Statement-non-opinion
we got lucky.	Conventional-closing
so let's give it this amount,	Quotation
well, i guess, um,	Uninterpretable
ten years ago,	Uninterpretable
i mean, he, he puts himself in the hospital fairly regularly thinking that, you know, he, he's not sure if he's going try to commit suicide or not.	Statement-non-opinion
and, i often will keep track of what i've charged and sometimes deduct it from my checkbook already.	Statement-non-opinion
they, they don't have a broad based income tax that funds the educational system,	Declarative Yes-No-Question
and when we broke things off,	Statement-non-opinion
i, we have five children,	Affirmative Non-yes Answers
and, uh, inevitably everyone is just very interested	Statement-non-opinion
what, uh, what's your experience been like?	Open-Question
that's pretty, that's a good size deck.	Appreciation
and then, uh, it, it's, it appeared that maybe it probably wasn't the neighbor.	Statement-non-opinion
so, how do you feel?	Open-Question
but i, i think we have to head toward that way.	Statement-opinion
isn't that funny,	Appreciation
is that, is that reported in the texas papers?	Yes-No-Question
uh, and so it's an external modem.	Declarative Yes-No-Question
so, um, do you want to discuss the recipe?	Yes-No-Question
if you had to have a drug test?	Declarative Yes-No-Question
uh, are you old enough to know about the war?	Yes-No-Question
is it a, is it a working farm	Yes-No-Question
on my commodore,	Affirmative Non-yes Answers
i probably, uh,	Uninterpretable
