sentence1	sentence2	label
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	what we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others	high
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	during the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred	high
without the cooperation, there would be no victory of competition	when we consider about the question that how to win the game, we always find that we need the cooperation	high
sustaining the cultural values of immigrants is paramount essential	maintaining one's cultural identity is a key important rule to help individuals emerge in the new multicultural environments	high
sustaining the cultural values of immigrants is paramount essential	take australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues	high
sustaining the cultural values of immigrants is paramount essential	many australians come this day to enjoy the shows, learn about the cultures and admire the diverse values	high
sustaining the cultural values of immigrants is paramount essential	these feedbacks, in turn, help raise one's pride of their cultures and help people understand each other more	high
it is crucial to keep one's identity	they need a connection back to their country as well as teach their children their value of origin	low
keeping the cultural traditions in the destination countries is tremendous important	it is crucial to keep one's identity	low
keeping the cultural traditions in the destination countries is tremendous important	children immigrated to a new country will face social troubles in school with new friends	low
keeping the cultural traditions in the destination countries is tremendous important	in this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home	high
keeping the cultural traditions in the destination countries is tremendous important	fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism	low
tourism has clearly improved lives in the tourist country	international tourism promotes many aspects of the destination country's economy in order to serve various demands of tourists	high
tourism has clearly improved lives in the tourist country	take cambodia for example, a large number of visitors coming to visit the angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores	high
tourism has clearly improved lives in the tourist country	these demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard	high
tourism has survived many non-tangible cultural values and beauty scenes	in vietnam, many cultural costumes and natural scenes, namely 'trong dong' drum performance and 'ha long' bay, are being encouraged to preserve and funded by the tourism ministry	high
tourism has survived many non-tangible cultural values and beauty scenes	through tourism industry, many cultural values have been preserved and natural environments have been protected	high
international tourism can create negative impacts on the destination countries	tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations	high
international tourism can create negative impacts on the destination countries	take thailand for example, in the vietnam war, many american soldiers came to thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits	high
international tourism can create negative impacts on the destination countries	this was due to the lack of adequate controls by authorities and lead to a bad image of thailand tourism	high
many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	as the australia's great barrier reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat's anchors, dropping fuel and other sorts of pollutions	high
tourism has threatened the nature environments	tourism increasingly create harms to the natural habitats of the destination appeals	low
