sentence1	sentence2	label
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	during the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred	high
competition makes the society more effective	the significance of competition is that how to become more excellence to gain the victory	low
without the cooperation, there would be no victory of competition	when we consider about the question that how to win the game, we always find that we need the cooperation	low
without the cooperation, there would be no victory of competition	take olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care	high
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	what we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others	low
sustaining the cultural values of immigrants is paramount essential	many australians come this day to enjoy the shows, learn about the cultures and admire the diverse values	high
sustaining the cultural values of immigrants is paramount essential	these feedbacks, in turn, help raise one's pride of their cultures and help people understand each other more	high
keeping the cultural traditions in the destination countries is tremendous important	it is crucial to keep one's identity	low
it is crucial to keep one's identity	they need a connection back to their country as well as teach their children their value of origin	high
tourism has clearly improved lives in the tourist country	international tourism promotes many aspects of the destination country's economy in order to serve various demands of tourists	high
tourism has clearly improved lives in the tourist country	take cambodia for example, a large number of visitors coming to visit the angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores	high
tourism has clearly improved lives in the tourist country	these demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard	high
tourism has survived many non-tangible cultural values and beauty scenes	in vietnam, many cultural costumes and natural scenes, namely 'trong dong' drum performance and 'ha long' bay, are being encouraged to preserve and funded by the tourism ministry	high
tourism has survived many non-tangible cultural values and beauty scenes	without this support and profit from tourism, many traditional cultures would disappear due to its low income works	low
international tourism can create negative impacts on the destination countries	take thailand for example, in the vietnam war, many american soldiers came to thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits	high
many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	as the australia's great barrier reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat's anchors, dropping fuel and other sorts of pollutions	high
tourism has threatened the nature environments	many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	high
studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures	compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life	high
living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet	one who is living overseas will of course struggle with loneliness, living away from family and friends	low
one who is living overseas will of course struggle with loneliness, living away from family and friends	those difficulties will turn into valuable experiences in the following steps of life	low
one who has studied and lived overseas will become more eligible for the job than his/her peers	becoming successful in this study will give the student an edge in job market	low
students who study outside their countries can get a lot of experience living in a foreign country	living in a new country requires a great amount of flexibility and adaptability in one's character	low
students who study outside their countries can get a lot of experience living in a foreign country	they should be able to deal with the obstacles that they may encounter	low
the new academic experience that the students can obtain at the institution where they are pursuing their studies	they will get exposed to a different educational system	low
most important is the cultural aspect of the experience	while living in a foreign country, students can learn a lot about the culture of that country	low
most important is the cultural aspect of the experience	they can meet different people of the country	low
most important is the cultural aspect of the experience	learning about others' cultures is so important	low
the print media has failed to keep its important role in the provision of information	contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime	high
the print media has failed to keep its important role in the provision of information	as can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages	high
the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time	from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one	high
the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time	the answer, perhaps, is that hardly would rational people do so	low
if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education	government should guarantee that all people have equal and convenient access to it	low
government's big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide	researches into humanities and art still need large amount of money	low
some may argue that universities can support themselve well by donation or invention	this argument is invalid	low
government's big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide	some may argue that universities can support themselve well by donation or invention	high
having a considered roommate is significantly imperative to our school life	consideration is always important in relationship	low
consideration is always important in relationship	roommate turns down the music or television volume at night time	low
having a considered roommate is significantly imperative to our school life	sometimes we will not know what we have done until we have a taste of our own medicine	low
having a considered roommate is significantly imperative to our school life	at all times, think about the other's feeling before doing any self-centered action would help to improve the roommate relationship tremendously	high
having a considered roommate is significantly imperative to our school life	it will not only prevent conflicts but also to have a friend or even a family member	low
communication is very important	communication is as well making a good roommate	low
communication is very important	one might think this is a piece of cake while other would consider it as immense project	low
communication is very important	if one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk	low
communication is very important	it would clear up the misinterpretation	low
they help alleviate traffic congestion and decrease the amount of carbon released into the air	such public vehicles are used to serve a large number of people in society	low
this is sure to lead to more carbon emitted into the atmosphere, which can cause skin cancer and destroy the natural environment	if governments use more money to improve roads, there is a strong likelihood that more people drive their private cars work	high
the policy that concentrates money on developing public transportation brings an advantageous impact on earth	if there are more good buses, trains, or subways, people are inclined to use less private vehicles, which decreases the amount of carbon released	high
governments have to turn people' attention on public vehicles to reduce cars and motorbikes	the policy would play a pivotal part in relieving traffic jam	low
governments have to turn people' attention on public vehicles to reduce cars and motorbikes	there are a great number of vehicles flowing on roads	low
if the entire nation, from their school ages begin going for sports and try doing that everyday, eventually it may help to build healthy nation	the more we practice, the better we feel	low
when we practice outdoors and indoors sports, many aspects are getting clearer	the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically	high
financial sustainability of a region mostly depends on how healthy the population is	the money invested into physical education program can save allocations into healthcare	high
the money invested into physical education program can save allocations into healthcare	the nation is comparatively healthy	high
putting physical activities in early steps of human development would finally lead to mentally healthy society	physically healthy people can contribute more both into economical and social development	high
putting physical activities in early steps of human development would finally lead to mentally healthy society	the better a person feels, the better his brain works	low
putting physical activities in early steps of human development would finally lead to mentally healthy society	it ends up with financially competitive country	low
email can be count as one of the most beneficial results of modern technology	many years ago, peoples had to pay a great deal of money to post their letters, and their payements were related to the weight of their letters or boxes, and many accidents may cause problem that the post could not be delivered	high
with the advent of internet and online paying systems, you can do many thing at your home easily	another important aspect on technology is transferring money	low
with the advent of internet and online paying systems, you can do many thing at your home easily	today, students can apply for foreign universities much easier than before	low
another technological innovations which help people around the world is related to medical equipments	biomedical engineers could make a significant effect on increasing life expectancy the world	low
another technological innovations which help people around the world is related to medical equipments	one of their inventions was related to artificial heart valves which can be count as a turning point in heart surgeries	high
another technological innovations which help people around the world is related to medical equipments	in the past time doctors used pig heart's valve to implant, but the patient could not be alive more than 3 years after the replacement	high
another technological innovations which help people around the world is related to medical equipments	but now, biomedical engineers can make artificial heart valves which works well and doctors can implant them easily	high
when they come across a high-tech product like a cellphone, they will be obsessed with its mysterious functions and eager to know how it works	children are curious about everything around them	low
instead of interfering children's creativity, technology actually encourages children to learn and to create	when they come across a high-tech product like a cellphone, they will be obsessed with its mysterious functions and eager to know how it works	high
instead of interfering children's creativity, technology actually encourages children to learn and to create	bill gates was attracted by the original huge computer, then he did everything he could to understand how it worked	high
instead of interfering children's creativity, technology actually encourages children to learn and to create	in the end, he successfully invented a computer that was easy to use and lightweight	high
the diverse knowledge that children gained from different parts of the world, inspires children and encourage them to create new things	technology widen children's knowledge	low
the diverse knowledge that children gained from different parts of the world, inspires children and encourage them to create new things	knowledge is the base of creativity	low
technology may have negative effects on children	with the development of technology, increasingly more young people become obsessed with high-tech products	high
students at schools and universities still learn much more from lessons with teachers	and when they are in primary school, teachers teach them more further knowledge, like writing skills and using computers	high
students at schools and universities still learn much more from lessons with teachers	it is teachers that help them with obstacles in schooling	low
students at schools and universities still learn much more from lessons with teachers	students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers	high
they can only input some key words and google it, and then there are numberless articles and websites related to it	students learn things easily	low
they contend that good television programs do teach students	students have knowledge of others cultures, outer space etc	low
it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity	such ways usually made people have troubles for the expensiveness, difficulties in far communication or emergency and the loss of information	high
it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity	thanks to the function provided by email and text messaging (sms), it is cheaper and faster to transfer a lot of information, even to many people at the same time	high
it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity	they are so convenient that the majority of population prefer to use them instead of some traditional ways	high
language in writing is not in its original form	people tend to use slangs and abbreviated words to shorten their writing and save more time in communicating for other activities	high
language in writing is not in its original form	people compose a message with only emoticons (the expressions by face created by service providers), which means there is no room for writing or typing texts	high
the popularity of email and text messaging, as a result, leads to the losing of written language's position	it is more dangerous that youngsters sometimes use such new languages in their studying, writing assignments	high
doing this various testing is a hazard of human's future and next generation	animals are friendly and vital for people	low
doing this various testing is a hazard of human's future and next generation	the animal experiments accelerate the vanishing of some categories of animals	low
animal experiments have negative impact on the natural balance	it is necessary to make sure that people can live a long life	low
in spite of enjoying watching television shows, it is really time consuming task	emergence of new television channels or shows are not surprising	low
in spite of enjoying watching television shows, it is really time consuming task	this is a problem that suffers all of us everyday	low
watching television programs makes us lazy	we usually spend our times in front of television for at least three ours a day when we come back home after eight-hour working in the office	high
watching television programs makes us lazy	this makes us a lazy person who prefers to do sedentary activities like watching television shows rather than be active and sociable	high
some television programs have a negative effect on viewers	these genre of programs has more negative effects on our teenagers	low
women have proved themselves in every field whether it is indoor or outdoor	nowadays women are working in home as well as in the sky	low
