sentence1	sentence2	label
without the cooperation, there would be no victory of competition	take olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care	high
competition makes the society more effective	the significance of competition is that how to become more excellence to gain the victory	low
through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	during the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred	high
it is crucial to keep one's identity	they need a connection back to their country as well as teach their children their value of origin	low
keeping the cultural traditions in the destination countries is tremendous important	children immigrated to a new country will face social troubles in school with new friends	low
sustaining the cultural values of immigrants is paramount essential	take australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues	high
sustaining the cultural values of immigrants is paramount essential	many australians come this day to enjoy the shows, learn about the cultures and admire the diverse values	high
tourism has clearly improved lives in the tourist country	international tourism promotes many aspects of the destination country's economy in order to serve various demands of tourists	high
tourism has clearly improved lives in the tourist country	take cambodia for example, a large number of visitors coming to visit the angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores	high
tourism has clearly improved lives in the tourist country	these demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard	high
international tourism can create negative impacts on the destination countries	take thailand for example, in the vietnam war, many american soldiers came to thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits	high
tourism has threatened the nature environments	tourism increasingly create harms to the natural habitats of the destination appeals	low
many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	as the australia's great barrier reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat's anchors, dropping fuel and other sorts of pollutions	high
tourism has threatened the nature environments	many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	high
one who has studied and lived overseas will become more eligible for the job than his/her peers	becoming successful in this study will give the student an edge in job market	low
studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures	compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life	high
students who study outside their countries can get a lot of experience living in a foreign country	living in a new country requires a great amount of flexibility and adaptability in one's character	low
they should be able to deal with the obstacles that they may encounter	students might face many challenges in the host country	low
students who study outside their countries can get a lot of experience living in a foreign country	they should be able to deal with the obstacles that they may encounter	low
the new academic experience that the students can obtain at the institution where they are pursuing their studies	they will meet new professors and new classmates which makes the academic experience different from that in their home country	low
most important is the cultural aspect of the experience	while living in a foreign country, students can learn a lot about the culture of that country	low
learning about others' cultures is so important	it makes us more open, and willing to accept different ideas and thoughts	low
the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time	from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one	high
the print media has failed to keep its important role in the provision of information	as can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages	high
the print media has failed to keep its important role in the provision of information	contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime	high
the print media has failed to keep its important role in the provision of information	to obtain information, using the internet is quicker and more convenient than reading newspapers	high
newspapers' production will have to face environmentalists on its way to be alive	when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down	high
newspapers' production will have to face environmentalists on its way to be alive	this is simply the contributor to the deforestation which is happening all over the world today	high
government's big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide	researches into humanities and art still need large amount of money	low
communication is very important	people have different habit in daily life, such as tidy the blanket in the morning	low
communication is very important	one might think this is a piece of cake while other would consider it as immense project	low
communication is very important	if one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk	low
the policy that concentrates money on developing public transportation brings an advantageous impact on earth	if there are more good buses, trains, or subways, people are inclined to use less private vehicles, which decreases the amount of carbon released	high
governments have to turn people' attention on public vehicles to reduce cars and motorbikes	it is quiet clear that traffic congestion is a serious problem in many big cities	low
governments have to turn people' attention on public vehicles to reduce cars and motorbikes	there is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion	low
if the entire nation, from their school ages begin going for sports and try doing that everyday, eventually it may help to build healthy nation	the more we practice, the better we feel	low
when we practice outdoors and indoors sports, many aspects are getting clearer	when a person goes jogging everyday, eventually he can understand his own body through direct observation	low
