sentence	label
dot's objective in setting this rule should be to eliminate all bumping, not merely achieve some  reduction.	unverifiable
regardless of how many caveats an airline might state in its contract terms, passengers neither want nor deserve a ticket for an oversold seat.	unverifiable
bumping is a purely economic device that treats passengers as economic units devoid of humanity, like so many other aspects of airline behavior.	unverifiable
"from that objective, it follows that there should be no cap on compensation and that the financial penalty to the airline should be strong enough to prevent bumping, not just keep it at some arbitrarily ""acceptable"" level."	unverifiable
the 100% of the total ticket price for expected arrival within 2 hours later is reasonable.	unverifiable
compensation for a longer delay should be the greater of 200% of the total ticket cost or the passenger's demonstrable out-of-pocket costs resulting from the delay  including any higher priced air ticket from the same or another carrier at the same class, and lodging, meals and incidentals at average prevailing prices in that metro area, and  with the obligation on the passenger to minimize those costs by arranging, with good faith help from the airline, an alternate flight or other means to get him or her to the destination as soon as reasonably practical.	unverifiable
i strongly support cash compensation for bumping passengers with zero-price tickets, e.g., those from frequent-flier programs.	unverifiable
dot's proposed rule using the lowest fare ticket would encourage airlines to bump those with zero-price tickets first,	unverifiable
since that cost would be lowest.	unverifiable
as long as they continue to offer tickets for miles, airlines should not be encouraged to treat passengers using those tickets as second-class when it comes to bumping.	unverifiable
the growing scarcity of actual seats for miles -- something that cries out for regulatory intervention -- is bad enough.	unverifiable
the proposals are certainly reasonable and should also be extended to include on-line booking services	unverifiable
since that could be a potential loophole for the airlines not to comply.	unverifiable
there is another growing problem that needs to be addressed, limitation on in-flight sales and solicitation.	unverifiable
one us carrier has mastered this art.	unverifiable
flight attendants are on the intercom from take-off to landing selling everything from mastercards to sandwiches.	unverifiable
i boarded usa in miami in march	experiential
and it was the coldest airplance i've ever seen.	experiential
moments later when the lady across the aisle asked for a blanket for her and her young child she was told they had no complimentary ones but could sell her two!	experiential
there is no question in my mind the reason the plane was so cold was to generate blanket sales.	experiential
this is just wrong.	unverifiable
what many people who are supporting a ban are forgetting  is if someone has such a severe peanut allergy that a reaction occurs when breathing or touching something else that has been contaminated , then *all* aircrafts that have ever had peanuts aboard are contaminated.	unverifiable
banning future peanuts doesn't change that cross-contamination is already in place and it's already a life-threatening environment.	non-experiential
not feasible.	unverifiable
but i do not expect the world to change for me.	unverifiable
i adjust to the world;	experiential
"if i think there's a chance that i will be exposed to my food ""poison, i don't go there."	experiential
it's inconvenient and sometimes a hardship for me,	unverifiable
but i'm the one with the allergy.	experiential
unfortunately, there are no guarantees in this world.	unverifiable
probably.	unverifiable
the problem is that banning peanuts alone won't make life on a plane safer;	unverifiable
and, frankly, those who don't have or know anyone who has life-threatening allergies have no idea how easily cross-contamination can occur.	unverifiable
as someone with such an allergy,	experiential
there's no way i would place my trust for my life on strangers to take precautions for my allergy.	unverifiable
banning isn't a real solution; finding a cure is.	unverifiable
it is unfortunate that the airlines have forced the government to step and and set limits by holding passengers hostage on the tarmac and treating them like items to be shipped and not people.	unverifiable
everyone is inconvenienced by flight delays, including the airline, the travelers and the airport.	unverifiable
consideration is what is needed here,	unverifiable
and the airlines have proven that they cannot be considerate to the travelers without a rule.	unverifiable
consequently, i believe a federal limit is necessary,	unverifiable
however i believe there are multiple factors that should be considered.	unverifiable
for instance, if a plane with 100 people on it has only 2 operating bathrooms, perhaps the timeframe should be shorter than a plane with more bathrooms in operation.	unverifiable
further, i would think the delay for a smaller plane that provides passengers with so little headroom that they cannot stand up without bending their heads  should be less than 3 hours.	unverifiable
the facilities on the plane could also be a factor .	unverifiable
however, if the airport is open and the airline does not intend to provide travelers with food, it is appropriate for the airline to let travelers off the plane so they can get food if the wait is long.	unverifiable
i see the reason for letting travelers deplane as being to allow them to obtain what they need and cannot get if they are held on the plane.	unverifiable
the only reason the airlines do not want to publish their plans in their respective contracts of carriage is because people may attempt to sue them if they fail to comply with those plans.	non-experiential
not that i believe people should sue at the drop of a hat,	unverifiable
but i do believe the travelers should have that as an option if the airline acts in an egregious manner.	unverifiable
thus, i believe airlines should be required to include their plans in their contracts of carriage.	unverifiable
i believe that airports should have tarmac contingency plans.	unverifiable
perhaps if both the airlines and the airports were required to have plans, the back and forth would lead to better coordination.	unverifiable
throughout all, i believe the airlines should inform their travelers about the situation regularly.	unverifiable
one reason for traveler angst in these situations is due to the lack of information.	unverifiable
setting traveler expectations is good.	unverifiable
however, airlines also must realize that sometimes the best decision is to let the travelers get off the plane and make other travel arrangements.	unverifiable
"i wholeheartedly agree with the idea that airlines should be required to provide travelers with a full-fare"" price."	unverifiable
this would allow travelers to compare prices between carriers and make better decisions.	unverifiable
a good alternative would be to allow an individual to choose what options they will use  and provide an all-in price that includes those options .	unverifiable
"this would allow travelers to determine what the ""all-in"" price includes, but would still allow the traveler to compare apples to apples when determining which airline to travel with."	unverifiable
all carriers that operate in the us should be required to display all-in fares for all flights that either begin or end in the us.	unverifiable
one result i could see here would be that an airline may allow one checked bag, but the size of the bag may be smaller for some carriers than others - and the charge for oversized bags may be more.	unverifiable
oversized bags may be something one doesn't think about until one gets to the airport and then finds out the bag is too big.	unverifiable
consequently, it might be good for a more prominent display of requirements on the traveler - e.g., bag size and weight.	unverifiable
"as to ""code share"" price display - as a traveler, i want to know what i am paying and what the restrictions on me would be."	unverifiable
i think, however, that it is important for me, the traveler, to know if the subcontractor has more restrictive luggage requirements that could cause me to need to pay additional fees.	unverifiable
i believe people want to know about the fees and restrictions when they arrange for travel.	unverifiable
i'm not sure it is necessary to advertise changes in fees or restrictions.	unverifiable
instead, i believe the fees or restrictions should not change for a passenger that has bought his or her ticket.	unverifiable
the contract between the airline and traveler is set when the ticket is purchased	non-experiential
if that contract allows the airline to change restrictions , the airline should be required to inform affected passengers that have already purchased tickets.	unverifiable
i think it is terrific that dot is, based on its experience with customer service plans, setting minimum requirements.	unverifiable
all of the requirements listed seem reasonable.	unverifiable
i would not want to fly with an airline that did not do those things.	unverifiable
with respect to the listed additional standards, i think it is important to note that if a bag is not delivered within 2 hours after the passenger landed on the first leg of a round-trip flight - it could be problematic.	unverifiable
whereas if it were delivered that late on the second leg of a round trip and the carrier later delivers it to the traveler's home it may not be such a big deal.	unverifiable
similarly, if the round-trip flight is over a long weekend, it is more important for the bag to catch up with the traveler quickly,	unverifiable
but if the round-trip is over a two week period in one place and the airline delivers the bag to the traveler within a day it may not be as big a deal.	unverifiable
refunds for bag fees on lost bags seems appropriate.	unverifiable
i also believe carriers should reimburse travelers for lost bags.	unverifiable
if the carrier fails to deliver a bag on-time, that also should be reimbursed -	unverifiable
"however i believe the definition of ""on time"" could be flexible."	unverifiable
it is important to carriers to publish on-time performance.	unverifiable
this is an important statistic used by some travelers to make choices about the carriers they wish to fly with.	unverifiable
also, the requirement to publish these statistics makes the carriers pay more attention to their achievements both individually and as compared to other carriers.	unverifiable
i have a peanut allergy and do not fly on airplanes very often.	experiential
however, my husband and i took a trip that required flying for travel	experiential
and i was very worried about the peanuts.	unverifiable
i took over-the-counter medicine to prevent a reaction and was very careful during the trip.	experiential
i can be as careful as i need to be,	unverifiable
but i can't help what the people around me eat.	non-experiential
i think that the two best ideas are banning nuts  from all flights, or having nut-free flights available .	unverifiable
when discussing an epinephrine auto-injector, i feel there should be one on the plane as part of the medical equipment, but should only be used in an emergency situation.	unverifiable
my doctor to me that if i use the epi pen, i have a few minutes to get to a hospital so they can regulate the epinephrine that's just been injected into my body.	experiential
this advice has caused me not to use the epi pen when i know that i can't get to a hospital in a short amount of time.	experiential
to me foods items, like a nut crusted chicken and rice dish will not bother me the way peanuts will.	unverifiable
peanut butter provides the same reaction,	non-experiential
"so peanut butter crackers would be out"" with a nut-free ban."	non-experiential
products containing peanut oil are a different matter.	non-experiential
"my doctor explained that the protein that i'm allergic to is broken down in the ""oil"" form,"	experiential
so foods cooked in peanut oil  do not bother me.	unverifiable
i think there should be no caps on amount airlines have to pay.	unverifiable
i agree with the proposed required customer service rules.	unverifiable
full prices should be fully disclosed up front,	unverifiable
and the lowest price available should be disclosed.	unverifiable
prices should not be increased after purchase.	unverifiable
dot should extend the tarmac delay rules to all flights in the us	unverifiable
on a recent trip from wa state to michigan, every single flight  was late by at least a half hour, resulting in missed connections both ways.	experiential
air travel has turned into such a frustrating exercise  that we look for reasons not to go air.	unverifiable
anything else whose risks of fatal reaction outweigh the mere convenience of the ignorant, i hope.	unverifiable
ricport, everyone is responsible for themselves and their effects on others.	unverifiable
